Dataset,Train_Split,Alpha,Accuracy,TPR,TNR,FPR,FNR,Error 
GroupA,0.75,0.7500000000000004,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.7600000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.7700000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.7800000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.7900000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.8000000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.8100000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.8200000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.8300000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.8400000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.8500000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.8600000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.8700000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.8800000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.8900000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.9000000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.9100000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.9200000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.9300000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.9400000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.9500000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.9600000000000006,100.0,100.0,100.0,0.0,0.0,0.0

